timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542211273,6.171206700606309,2.3945802857349747,1.5062585274890608,6.191812002845234,6.061918348125909,2.804721256078082,1.372140086174528,0.5229511607336126,2.8204719522575514,4.078024827469877,2.024533084994949,1.710213628478401,1.928549991139604,8.697663663264596,8.302664001294739,4.194334584926689,4.066735602398516,6.080921810746211,6.548051448100248,6.81423588226739,1
1542211274,5.544577583260658,2.969472062923996,2.44270073305576,7.533875794070826,9.912281485443376,2.894720956750066,1.4526780431435067,0.5044573738740974,3.2953721678504047,3.131142751930801,6.112588509519881,2.341987148808369,1.9180626007316506,2.490085751066262,3.2670545374058206,4.5584054783016255,3.2041928112743094,6.384403075561579,13.549615580843227,12.39987751931872,1
1542211274,4.242287204654754,1.9844624534613462,1.6644632916968387,7.964481205199265,3.721866041023395,2.6079618348053066,0.8566539891740352,0.4783873544051079,2.6696419380236485,1.4621455595637676,2.9690516490719006,1.436148523777976,1.8661445246622832,8.176747629033827,5.720324020774629,8.304998387035164,3.8219545496686447,6.740867021145721,7.8326325932308825,5.864557322641348,1
1542211275,10.439673692044808,2.2700310533771155,1.4619304681884773,38.48242013771029,25.398699677232152,2.1005425391588464,0.7983783272307928,0.5840871440637858,8.387028169715197,4.749522819993135,2.1764898137948023,1.4578528490652907,1.8741954864366182,6.73455900350449,6.872185349028696,7.393441183258884,3.7918992416767603,6.499459632179052,22.375299164524492,18.707998392934947,1
1542211275,5.558790103346612,1.7550155523659912,1.6659691938188719,7.27491987957654,5.661769343702241,1.7860597731999468,0.9180181211471958,0.5171476407350073,1.6282776030524961,3.2008137236076815,4.662603868966038,1.9512930476877608,2.1997637396876164,5.244875755178073,4.537275874236931,6.106284915326079,4.629214946807038,6.970427672813386,10.18843619913894,6.467314612336683,1
1542211276,5.3512153157463525,1.8702855198177337,1.381061821115731,5.163156418114285,5.226000847148136,1.5574562835161425,1.0632509250945075,0.5585960316108443,1.4224670181636743,1.8448559050164972,4.9381423507403115,2.727698468307335,2.4606324660162597,1.7444205995597346,7.389583338028295,6.583853250236181,2.0303100284554003,6.392702299354679,5.091545308831911,7.3575295159561085,1
1542211276,3.6732616900567994,2.1534946489340516,1.5046782359594395,4.469683288816045,8.713453740227605,1.3814740418156213,1.020349826557326,0.4973448813776922,1.4114601316547193,1.8870019465763397,5.198203141141871,2.0060727164913477,2.6824961538172296,5.689722202440677,5.692822476090657,6.507035003951446,4.015872315533646,6.9071222171497535,9.171897200597313,9.964054748777821,1
1542211277,5.635786184415807,1.8994699065338736,1.4304804838546978,7.822169384879632,7.795795159026487,1.610164531431321,0.9963941475957516,0.5709086213399399,2.3722595731826766,2.9767324777017192,5.763870424938713,2.1423365865432475,2.4028774401015514,5.938969192326397,5.604118654159839,5.312964690831204,3.3276777835557487,6.939911106474921,7.45853739635116,9.177705800042226,1
1542211277,5.385724297115007,2.1379177081168534,1.3237601668673853,4.727852094291897,3.3378118247754776,3.8125964829736367,1.7117694394337137,0.6518284906784737,8.47093587155257,7.890824558340773,1.8453838778311142,1.426054864279654,1.8380030636439817,4.24602815517276,4.468489673723112,4.94317044096769,2.429298731250592,6.554812458001288,8.144265770640647,6.922290942699778,1
1542211278,2.7057800008096833,2.1099172015907715,1.6206390484071669,7.144852274998784,6.52588153672691,3.454198956204207,1.734917505979396,0.7117950618980173,8.726084012266707,6.088033907687581,1.4114506634156865,1.8958845721557884,2.0028135539718805,4.029205690882671,1.2828897651315856,8.554295053511902,4.422335509759743,6.406380445691212,6.8954882401108435,2.6775149196809185,1
1542211278,3.5443313252726263,1.825058223477699,1.4991238087844336,6.511545482578158,8.961615460132013,3.5238345142274903,1.4683155134018675,0.6506661958788537,5.069208788950979,4.28755032611698,1.6725020552580039,1.6176596952869853,1.95332602974417,3.556792120351961,4.310989155460081,5.065253323747133,2.215761355541609,6.260610074864255,6.626920111142052,9.536068333712215,1
1542211279,6.088466733544032,1.3497131912713425,1.39767874418581,3.2651622307078716,5.735882563708037,2.5593696525944645,1.2407019289036307,0.48266297919787354,4.936744618008312,4.104614484702797,2.3286914794611002,0.9883116313972461,1.8191895011422226,3.9981828603517027,5.165576260037483,5.928130071590007,2.812954073265541,6.886055021536094,6.9257255795604475,8.007958536265278,1
